,Personas con al menos 1 dosis ?80 años,%,Personas con al menos 1 dosis 70-79 años,%,Personas con al menos 1 dosis 60-69 años,%,Personas con al menos 1 dosis 50-59 años,%,Personas con al menos 1 dosis 40-49 años,%,Personas con al menos 1 dosis 30-39 años,%,Personas con al menos 1 dosis 20-29 años,%,Personas con al menos 1 dosis 12-19 años,%,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE,% Con al menos 1 dosis sobre Total Población INE,,,,,,,,,,,,,,,,,,,,,,,,
Extremadura,"78,256",100.0%,"95,914",100.0%,"132,836",100.0%,"161,438",95.4%,"146,164",91.6%,"112,916",84.6%,"92,956",82.0%,"75,977",89.6%,"896,457","953,437",94.0%,84.3%,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,"242,277",100.0%,"291,287",100.0%,"345,881",99.7%,"390,690",96.3%,"407,606",92.0%,"263,072",81.3%,"198,256",85.8%,"167,736",93.2%,"2,306,805","2,454,497",94.0%,85.4%,,,,,,,,,,,,,,,,,,,,,,,,
La Rioja,"23,362",100.0%,"28,660",100.0%,"38,030",100.0%,"45,367",95.2%,"47,472",89.7%,"30,989",78.8%,"23,908",78.5%,"21,695",85.0%,"259,483","283,970",91.4%,81.1%,,,,,,,,,,,,,,,,,,,,,,,,
Madrid,"373,808",100.0%,"510,813",97.1%,"688,231",97.9%,"939,043",96.5%,"1,027,783",88.1%,"740,901",78.0%,"592,137",79.8%,"448,653",81.1%,"5,321,369","5,977,937",89.0%,78.5%,,,,,,,,,,,,,,,,,,,,,,,,
Murcia,"73,957",100.0%,"103,263",100.0%,"148,147",100.0%,"207,208",97.2%,"231,085",90.9%,"166,169",79.5%,"139,414",80.9%,"117,967",83.1%,"1,187,210","1,310,137",90.6%,78.6%,,,,,,,,,,,,,,,,,,,,,,,,
Navarra,"42,507",100.0%,"55,892",100.0%,"72,269",97.9%,"91,857",95.0%,"95,224",88.2%,"63,868",78.5%,"56,715",83.2%,"48,596",86.2%,"526,928","581,354",90.6%,79.7%,,,,,,,,,,,,,,,,,,,,,,,,
País Vasco,"164,161",100.0%,"213,718",100.0%,"278,443",99.4%,"323,592",95.2%,"319,956",88.4%,"201,799",77.5%,"162,052",80.4%,"144,691",85.8%,"1,808,412","1,983,943",91.2%,81.4%,,,,,,,,,,,,,,,,,,,,,,,,
Ceuta,"2,401",92.2%,"3,890",90.1%,"7,661",97.5%,"10,580",91.6%,"11,127",88.0%,"9,215",77.5%,"9,149",83.4%,"8,330",91.3%,"62,353","70,965",87.9%,74.1%,,,,,,,,,,,,,,,,,,,,,,,,
Melilla,"2,012",85.7%,"3,315",88.4%,"7,167",91.6%,"9,684",85.7%,"10,056",83.8%,"8,597",70.9%,"8,636",72.0%,"7,660",80.0%,"57,127","70,927",80.5%,65.6%,,,,,,,,,,,,,,,,,,,,,,,,
Fuerzas Armadas,32,-,18,-,"3,537",-,"9,519",-,"22,104",-,"31,856",-,"24,578",-,"1,178",-,"92,822",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
Sanidad Exterior,27,-,33,-,221,-,676,-,"1,291",-,"1,487",-,"1,243",-,171,-,"5,149",-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
Total España,"2,936,988",100.0%,"3,941,768",99.5%,"5,276,494",98.9%,"6,675,724",94.9%,"6,963,561",88.2%,"4,880,017",78.3%,"3,964,668",80.2%,"3,299,599",84.9%,"37,938,819","42,119,827",90.1%,80.0%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
